# OTU,S13,S16,S11,S14,S17,S15,S18,S20,S12,S19,taxonomy
Taxa_2514,0,0,0,0,10,5,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiales_unclassified;g__Aquabacterium;s__Aquabacterium_olei
Taxa_598,0,0,0,0,97,0,154,0,0,0,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas_sputigena
Taxa_5122,0,0,0,0,95,0,513,0,0,0,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella;s__Olsenella;sp.;oral;taxon;807;strain;F0089
Taxa_4534,0,0,0,0,44,6,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia_sp_852002_50395_SCH5434458
Taxa_607,0,0,1,0,36,0,50,0,0,0,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Centipeda;s__Centipeda_periodontii_3
Taxa_6286,0,0,0,0,25,0,6,0,0,0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella;s__Tannerella_sp_oral_taxon_HOT_286_2
Taxa_1907,0,0,0,0,0,0,1,0,60,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Oligella;s__Oligella_urethralis_FDAARGOS_329
Taxa_7678,0,0,0,0,0,1,70,0,1,5,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium_qingshengii_5
Taxa_4204,3635,430,11,7894,14,26,2314,624,630,222,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Ecoli_9
Taxa_8451,1,37,0,84,12,12,104,218,294,193,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium_oligotrophicum
Taxa_6213,0,0,31,0,0,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__Paraprevotella_xylaniphila
Taxa_5817,0,307,0,0,28,263,13,0,2,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__M_obuense
Taxa_5193,0,0,0,0,139,178,53,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__kefirresidentii_FDAARGOS_1055
Taxa_5468,0,0,0,0,164,1,51,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Pseudopropionibacterium;s__9
Taxa_107,3491,0,5411,169,0,0,0,0,0,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitziiL2/6
Taxa_5046,122,0,0,0,0,0,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__animalis
Taxa_8271,0,0,0,0,24,4,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillales_unclassified;g__Rhodospirillales_unclassified;s__Rhodospirillales_bacterium_URHD0017
Taxa_94,0,0,363,0,0,0,0,0,0,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Agathobaculum;s__Agathobaculum_butyriciproducens
Taxa_4213,1895,1496,14,3697,45,145,4791,2290,2262,647,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Ecoli_19
Taxa_7901,0,83,1,31,10,23,240,74,130,38,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium_AT1
Taxa_4211,2396,110,2,4194,8,11,566,178,149,64,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Ecoli_LWY24
